Claims_ID,Customer_ID,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Safe_Driver_Discount,Total_Discounts,Conversion_Status,Time_to_Conversion
C01,1,0,Low,0,Full Coverage,0,0,0,99
C02,2,0,Low,0,Full Coverage,0,0,0,99
C03,3,1,Low,50,Full Coverage,0,0,0,99
C04,4,1,Low,50,Full Coverage,0,0,1,2
C05,5,2,Low,100,Full Coverage,0,0,1,10
C06,6,0,Medium,0,Liability-Only,0,50,1,7
C07,7,0,Low,0,Full Coverage,1,50,1,1
C08,8,0,Low,0,Full Coverage,0,50,0,99
C09,9,0,Low,0,Liability-Only,0,50,1,3
C10,10,1,High,200,Full Coverage,1,50,0,99
C11,11,1,Low,50,Liability-Only,0,50,1,13
C12,12,1,Low,50,Liability-Only,0,0,1,6
C13,13,1,High,200,Liability-Only,0,50,0,99
C14,14,1,Low,50,Liability-Only,1,100,1,9
C15,15,1,Low,50,Full Coverage,1,50,1,8
C16,16,0,Low,0,Full Coverage,0,50,0,99
C17,17,0,Low,0,Full Coverage,0,0,1,10
C18,18,1,Low,50,Full Coverage,1,50,1,7
C19,19,0,Low,0,Full Coverage,1,50,1,8
C20,20,0,Low,0,Liability-Only,1,100,1,11
C21,21,0,Low,0,Full Coverage,0,50,1,5
C22,22,0,Medium,0,Full Coverage,0,50,1,1
C23,23,0,High,0,Full Coverage,0,50,1,3
C24,24,0,Low,0,Full Coverage,0,100,0,99
C25,25,1,Low,50,Full Coverage,0,0,0,99
C26,26,1,Medium,100,Liability-Only,0,0,1,11
C27,27,1,Low,50,Liability-Only,0,0,0,99
C28,28,0,Medium,0,Full Coverage,1,50,0,99
C29,29,0,Low,0,Full Coverage,0,0,1,5
C30,30,0,High,0,Liability-Only,0,50,0,99
C31,31,0,Low,0,Full Coverage,0,0,1,4
C32,32,0,Low,0,Full Coverage,0,0,1,3
C33,33,0,Low,0,Full Coverage,0,50,0,99
C34,34,0,Low,0,Full Coverage,0,0,0,99
C35,35,0,High,0,Full Coverage,1,50,0,99
C36,36,0,High,0,Full Coverage,0,0,1,6
C37,37,0,Medium,0,Full Coverage,0,0,1,3
C38,38,0,Low,0,Full Coverage,0,0,0,99
C39,39,1,Medium,100,Liability-Only,0,50,1,3
C40,40,1,Low,50,Full Coverage,1,100,1,6
C41,41,0,High,0,Full Coverage,0,50,1,9
C42,42,0,Low,0,Liability-Only,0,50,0,99
C43,43,0,Low,0,Full Coverage,1,100,1,3
C44,44,1,Medium,100,Full Coverage,0,0,0,99
C45,45,1,Medium,100,Full Coverage,0,50,0,99
C46,46,1,Medium,100,Liability-Only,0,0,0,99
C47,47,0,Low,0,Full Coverage,0,0,0,99
C48,48,0,Medium,0,Full Coverage,0,50,1,1
C49,49,0,Low,0,Liability-Only,1,50,0,99
C50,50,1,Low,50,Liability-Only,0,0,0,99
C51,51,0,Low,0,Liability-Only,1,100,1,9
C52,52,0,Medium,0,Liability-Only,0,50,0,99
C53,53,0,Low,0,Liability-Only,1,50,1,5
C54,54,0,Low,0,Full Coverage,1,100,1,9
C55,55,0,Low,0,Liability-Only,0,0,0,99
C56,56,1,Medium,100,Full Coverage,0,50,0,99
C57,57,0,Low,0,Full Coverage,0,0,1,3
C58,58,0,Low,0,Full Coverage,0,50,1,1
C59,59,0,Low,0,Liability-Only,0,0,1,7
C60,60,1,Low,50,Full Coverage,0,0,1,7
C61,61,1,Low,50,Liability-Only,0,0,1,5
C62,62,0,Medium,0,Liability-Only,0,50,1,3
C63,63,0,Low,0,Full Coverage,0,0,1,2
C64,64,1,Low,50,Liability-Only,0,50,0,99
C65,65,0,Low,0,Full Coverage,0,0,0,99
C66,66,0,Low,0,Full Coverage,0,50,1,1
C67,67,0,Low,0,Full Coverage,0,0,1,13
C68,68,0,High,0,Liability-Only,0,50,1,10
C69,69,3,Low,150,Liability-Only,1,100,0,99
C70,70,0,Low,0,Full Coverage,0,50,1,8
C71,71,0,Low,0,Full Coverage,0,0,0,99
C72,72,0,Low,0,Full Coverage,0,50,0,99
C73,73,1,Low,50,Full Coverage,1,50,0,99
C74,74,2,High,400,Full Coverage,0,0,0,99
C75,75,1,Low,50,Full Coverage,0,50,1,7
C76,76,0,Low,0,Liability-Only,1,50,1,13
C77,77,0,Medium,0,Full Coverage,0,0,0,99
C78,78,1,Medium,100,Full Coverage,0,50,0,99
C79,79,1,Low,50,Liability-Only,0,0,0,99
C80,80,1,Low,50,Full Coverage,0,100,0,99
C81,81,0,Low,0,Full Coverage,0,0,0,99
C82,82,1,Medium,100,Liability-Only,0,0,0,99
C83,83,0,Low,0,Full Coverage,0,0,1,3
C84,84,0,Low,0,Liability-Only,1,50,1,3
C85,85,0,Medium,0,Liability-Only,0,0,1,5
C86,86,1,Low,50,Full Coverage,1,150,1,3
C87,87,0,Low,0,Full Coverage,0,0,0,99
C88,88,0,Low,0,Full Coverage,0,0,1,7
C89,89,0,Low,0,Liability-Only,0,0,0,99
C90,90,0,High,0,Full Coverage,0,50,0,99
C91,91,0,Low,0,Full Coverage,0,0,0,99
C92,92,1,Low,50,Full Coverage,0,50,1,3
C93,93,0,High,0,Full Coverage,0,0,0,99
C94,94,0,Low,0,Full Coverage,0,0,0,99
C95,95,0,Low,0,Full Coverage,1,50,1,3
C96,96,1,Low,50,Full Coverage,0,0,1,3
C97,97,0,High,0,Full Coverage,0,50,0,99
C98,98,0,Medium,0,Liability-Only,1,50,1,7
C99,99,1,Low,50,Full Coverage,0,0,0,99
C100,100,0,Low,0,Liability-Only,1,100,0,99
C101,101,0,High,0,Full Coverage,1,100,1,8
C102,102,2,Low,100,Full Coverage,0,0,1,12
C103,103,1,Low,50,Full Coverage,1,50,0,99
C104,104,0,Low,0,Liability-Only,1,50,0,99
C105,105,0,Medium,0,Full Coverage,0,50,1,8
C106,106,1,High,200,Full Coverage,1,100,1,5
C107,107,1,Medium,100,Full Coverage,0,0,1,2
C108,108,1,High,200,Liability-Only,1,50,0,99
C109,109,0,Medium,0,Full Coverage,0,0,0,99
C110,110,0,Low,0,Full Coverage,0,0,1,4
C111,111,0,Low,0,Full Coverage,0,0,0,99
C112,112,0,Medium,0,Liability-Only,0,0,0,99
C113,113,0,Low,0,Liability-Only,0,0,1,4
C114,114,1,Medium,100,Full Coverage,1,50,1,2
C115,115,0,Medium,0,Full Coverage,0,0,0,99
C116,116,0,Low,0,Full Coverage,1,50,1,8
C117,117,0,Low,0,Liability-Only,0,50,1,11
C118,118,0,Low,0,Liability-Only,1,100,1,8
C119,119,1,Low,50,Full Coverage,0,50,1,4
C120,120,1,Medium,100,Full Coverage,0,0,0,99
C121,121,1,Low,50,Liability-Only,0,50,1,9
C122,122,0,High,0,Liability-Only,0,0,1,5
C123,123,0,Low,0,Liability-Only,1,50,1,1
C124,124,2,Medium,200,Full Coverage,0,50,1,9
C125,125,0,Low,0,Full Coverage,0,0,1,10
C126,126,1,Low,50,Liability-Only,0,0,0,99
C127,127,0,Low,0,Full Coverage,1,100,1,9
C128,128,2,Low,100,Liability-Only,0,50,0,99
