Customer_ID,Age,Is_Senior,Marital_Status,Credit_Score,Region
1,47,0,Married,704,Suburban
2,37,0,Married,726,Urban
3,49,0,Married,772,Urban
4,62,1,Married,809,Urban
5,36,0,Single,662,Suburban
6,36,0,Married,729,Rural
7,63,1,Married,795,Urban
8,51,0,Single,639,Suburban
9,32,0,Married,724,Rural
10,48,0,Single,710,Urban
11,33,0,Single,688,Suburban
12,33,0,Married,659,Rural
13,43,0,Single,745,Urban
14,18,0,Single,777,Suburban
15,18,0,Married,668,Suburban
16,31,0,Married,775,Urban
17,24,0,Single,695,Suburban
18,44,0,Widowed,739,Urban
19,26,0,Single,750,Urban
20,18,0,Married,625,Urban
21,61,1,Single,698,Suburban
22,36,0,Married,760,Suburban
23,41,0,Single,749,Urban
24,18,0,Single,723,Suburban
25,31,0,Single,697,Rural
26,41,0,Divorced,676,Urban
27,22,0,Single,733,Suburban
28,45,0,Single,710,Urban
29,30,0,Married,728,Urban
30,35,0,Divorced,738,Suburban
31,30,0,Widowed,688,Urban
32,67,1,Married,740,Rural
33,39,0,Married,706,Urban
34,24,0,Married,690,Urban
35,52,0,Single,701,Urban
36,21,0,Single,648,Urban
37,43,0,Married,844,Rural
38,18,0,Single,670,Rural
39,20,0,Married,718,Urban
40,42,0,Single,739,Suburban
41,51,0,Married,629,Suburban
42,42,0,Married,735,Urban
43,38,0,Married,850,Rural
44,35,0,Married,727,Suburban
45,18,0,Single,692,Urban
46,29,0,Single,764,Rural
47,33,0,Married,733,Urban
48,55,1,Married,745,Suburban
49,45,0,Married,650,Urban
50,18,0,Single,721,Urban
51,44,0,Single,748,Urban
52,34,0,Married,761,Suburban
53,29,0,Single,668,Urban
54,49,0,Married,674,Urban
55,55,1,Widowed,670,Urban
56,53,0,Widowed,761,Rural
57,27,0,Single,769,Rural
58,35,0,Widowed,750,Rural
59,44,0,Divorced,755,Suburban
60,54,0,Divorced,768,Suburban
61,32,0,Single,681,Rural
62,37,0,Married,744,Suburban
63,23,0,Married,781,Suburban
64,22,0,Married,735,Urban
65,52,0,Single,735,Urban
66,60,1,Married,675,Urban
67,38,0,Married,705,Urban
68,55,1,Married,702,Urban
69,45,0,Married,738,Suburban
70,30,0,Single,639,Urban
71,45,0,Widowed,719,Urban
72,63,1,Single,658,Urban
73,39,0,Single,774,Suburban
74,63,1,Single,775,Rural
75,18,0,Married,616,Rural
76,52,0,Married,775,Suburban
77,41,0,Divorced,720,Urban
78,35,0,Married,692,Rural
79,41,0,Married,739,Suburban
80,18,0,Single,709,Urban
81,36,0,Married,699,Suburban
82,45,0,Married,634,Suburban
83,62,1,Married,725,Rural
84,32,0,Married,747,Urban
85,27,0,Married,719,Rural
86,32,0,Married,651,Rural
87,53,0,Single,655,Urban
88,44,0,Divorced,699,Urban
89,32,0,Married,801,Rural
90,47,0,Divorced,724,Suburban
91,41,0,Married,756,Suburban
92,54,0,Married,723,Suburban
93,29,0,Married,682,Urban
94,35,0,Single,663,Rural
95,34,0,Married,850,Urban
96,18,0,Single,734,Suburban
97,44,0,Single,687,Suburban
98,43,0,Single,706,Rural
99,40,0,Single,708,Suburban
100,36,0,Widowed,717,Rural
101,18,0,Married,744,Rural
