Policy_ID,Customer_ID,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Total_Discounts,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Premium_Adjustment_Credit,Premium_Adjustment_Region
P01,1,86,1-5 years,50,Full Coverage,0,2286,0,10,0,5,1,2,99,-50,50
P02,2,86,1-5 years,50,Full Coverage,0,2336,0,22,0,5,1,2,99,-50,100
P03,3,86,1-5 years,50,Full Coverage,0,2386,0,28,0,4,4,1,99,-50,100
P04,4,86,>5 years,0,Full Coverage,0,2336,0,4,1,6,2,2,2,-50,100
P05,5,0,>5 years,0,Full Coverage,0,2350,0,14,1,8,4,2,10,50,50
P06,6,86,>5 years,0,Liability-Only,-200,1936,50,13,1,4,1,1,7,-50,0
P07,7,86,1-5 years,50,Full Coverage,0,2286,50,2,1,5,1,2,1,-50,100
P08,8,0,<1 year,100,Full Coverage,0,2300,50,1,0,3,0,2,99,50,50
P09,9,86,>5 years,0,Liability-Only,-200,1936,50,16,1,5,1,3,3,-50,0
P10,10,0,>5 years,0,Full Coverage,0,2350,50,27,0,5,3,2,99,-50,100
P11,11,0,>5 years,0,Liability-Only,-200,2050,50,22,1,3,2,1,13,50,50
P12,12,86,<1 year,100,Liability-Only,-200,2236,0,16,1,3,1,3,6,50,0
P13,13,0,1-5 years,50,Liability-Only,-200,2200,50,29,0,4,1,3,99,-50,100
P14,14,0,1-5 years,50,Liability-Only,-200,1950,100,22,1,7,0,3,9,-50,50
P15,15,86,1-5 years,50,Full Coverage,0,2386,50,7,1,3,3,2,8,50,50
P16,16,86,1-5 years,50,Full Coverage,0,2286,50,23,0,3,3,2,99,-50,100
P17,17,0,1-5 years,50,Full Coverage,0,2300,0,8,1,3,2,3,10,50,50
P18,18,0,1-5 years,50,Full Coverage,0,2250,50,4,1,3,1,3,7,-50,100
P19,19,0,<1 year,100,Full Coverage,0,2250,50,14,1,5,2,1,8,-50,100
P20,20,86,1-5 years,50,Liability-Only,-200,2136,100,11,1,3,2,1,11,50,100
P21,21,0,<1 year,100,Full Coverage,0,2300,50,25,1,6,4,2,5,50,50
P22,22,86,1-5 years,50,Full Coverage,0,2236,50,17,1,7,1,3,1,-50,50
P23,23,0,>5 years,0,Full Coverage,0,2150,50,1,1,9,3,1,3,-50,100
P24,24,0,<1 year,100,Full Coverage,0,2150,100,17,0,3,1,2,99,-50,50
